city_id,city_name,city_slug,country_id,country_name,country_slug,location_id,location_name,location_slug
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,792389987796690,Bacotan +62,bacotan-62
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,227351654324011,Masjid Istiqlal - Jakarta,masjid-istiqlal-jakarta
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,1025584035,A Studio Jakarta,a-studio-jakarta
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,1024439286,EXO-L Indonesia,exo-l-indonesia
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,1034767352,"Batavia, Dutch East Indies",batavia-dutch-east-indies
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,294949303,Kantor Pusat PT.Pertamina (Persero) jl Merdeka Timur 1a Jakarta pusat,kantor-pusat-ptpertamina-persero-jl-merdeka-timur-1a-jakarta-pusat
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,101389614899612,Dirumah aja,dirumah-aja
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,1415451868776942,Masjid Agung Istiqlal Jakarta Pusat,masjid-agung-istiqlal-jakarta-pusat
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,1020711021,Arena Road Race MONASCO,arena-road-race-monasco
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,148434935794208,Masjid Istiqlal Jakarta Pusat,masjid-istiqlal-jakarta-pusat
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,1453111504918616,Galeri Nasional Indonesia,galeri-nasional-indonesia
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,1021486212,Pulau Tidung,pulau-tidung
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,1024323305,Stasiun Kereta Api Gambir Jakarta,stasiun-kereta-api-gambir-jakarta
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,409062033,Istana Negara Indonesia Jakarta Pusat,istana-negara-indonesia-jakarta-pusat
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,928357278,Bifern Shop,bifern-shop
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,1978041099115882,mi.rin.da,mirinda
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,907451869384072,8080 Cafe Hatyai,8080-cafe-hatyai
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,463306283721137,\u0e08\u0e38\u0e143\u0e08\u0e38\u0e14 \u0e2a\u0e32\u0e02\u0e32\u0e2b\u0e32\u0e14\u0e43\u0e2b\u0e0d\u0e48,3
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,458855853,Ice Cream Studio,ice-cream-studio
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,1020657118091820,The Library Hatyai,the-library-hatyai
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,213574229,Imhouse Coffee,imhouse-coffee
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,589709678069321,Concentrate Commune,concentrate-commune
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,7141644,\u0e23\u0e34\u0e21\u0e23\u0e31\u0e49\u0e27 \u0e01\u0e23\u0e30\u0e17\u0e30\u0e23\u0e49\u0e2d\u0e19,"""},{"
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,996502650,SikarinHatyai Hospital,sikarinhatyai-hospital
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,469791776552999,Billin Caf\u00e9\u0026Bistro,billin-cafebistro
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,1876418452585451,\u0e42\u0e08\u0e4a\u0e01\u0e2b\u0e21\u0e49\u0e2d\u0e40\u0e15\u0e34\u0e1a - Big joke congee,-big-joke-congee
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,1033913471,Space Bar,space-bar
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,261383252,Big C Extra Hatyai,big-c-extra-hatyai
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,101699731536987,NAY naisa alifa yuriza,nay-naisa-alifa-yuriza
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,483576198501899,Keramas Beach,keramas-beach
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,404116031,"TMII (Taman Mini Indonesia Indah,jakarta )",tmii-taman-mini-indonesia-indahjakarta
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,1023076033,Orang.gila,oranggila
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,559080776,"Ragusa, Es Krim Italia",ragusa-es-krim-italia
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,482632771762389,Stasiun KA Gambir Jakarta,stasiun-ka-gambir-jakarta
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,988322881,Indonesia Merdeka,indonesia-merdeka
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,367694381,Kwartir Nasional Gerakan Pramuka,kwartir-nasional-gerakan-pramuka
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,1514772595278574,Masjid Istiqlal Jakarta,masjid-istiqlal-jakarta
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,1042791802450309,Hahaha.......,hahaha
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,213628146,"Ragusa, Es Krim Tradisional Italia, sejak 1932.",ragusa-es-krim-tradisional-italia-sejak-1932
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,248992150,PT Kalbe Farma kawasan Ejip Cikarang,pt-kalbe-farma-kawasan-ejip-cikarang
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,14596438,\u0e27\u0e34\u0e17\u0e22\u0e32\u0e25\u0e31\u0e22\u0e40\u0e17\u0e04\u0e42\u0e19\u0e42\u0e25\u0e22\u0e35\u0e19\u0e04\u0e23\u0e2b\u0e32\u0e14\u0e43\u0e2b\u0e0d\u0e48,"""},{"
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,150506825468365,Hasul Hatyai,hasul-hatyai
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,178320968881360,The Salita Tea House,the-salita-tea-house
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,1041062,Acoustic Plus,acoustic-plus
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,360811137931722,Avenue_hatyai,avenue_hatyai
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,249695147,Bangkok-Hatyai hospital : \u0e23\u0e1e.\u0e01\u0e23\u0e38\u0e07\u0e40\u0e17\u0e1e \u0e2b\u0e32\u0e14\u0e43\u0e2b\u0e0d\u0e48,bangkok-hatyai-hospital
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,1017301053,The Cottage,the-cottage
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,238702701,71 Monster Bar,71-monster-bar
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,7887404,Amanda Coffee,amanda-coffee
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,1009843419,La Pause Hatyai,la-pause-hatyai
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,570260726,Coffee with me ? - \u0e44\u0e1b\u0e01\u0e34\u0e19\u0e01\u0e32\u0e41\u0e1f\u0e01\u0e31\u0e1a\u0e09\u0e31\u0e19\u0e44\u0e2b\u0e21,coffee-with-me-
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,259460759,\u0e01\u0e4b\u0e27\u0e22\u0e40\u0e15\u0e35\u0e4b\u0e22\u0e27\u0e40\u0e23\u0e37\u0e2d\u0e40\u0e21\u0e22\u0e4c \u0e2a\u0e32\u0e02\u0e32\u0e2b\u0e32\u0e14\u0e43\u0e2b\u0e0d\u0e48,"""},{"
c770296,Madeleine,madeleine-france,FR,France,france,220458204,"Avignon, France",avignon-france
c770296,Madeleine,madeleine-france,FR,France,france,499072,Palais des Papes - Avignon,palais-des-papes-avignon
c770296,Madeleine,madeleine-france,FR,France,france,111216915,Festival dAvignon,festival-davignon
c770296,Madeleine,madeleine-france,FR,France,france,546254196,Avignon - Cit\u00e9 des Papes,avignon-cite-des-papes
c770296,Madeleine,madeleine-france,FR,France,france,897373653,Pont Davignon,pont-davignon
c770296,Madeleine,madeleine-france,FR,France,france,191156941527414,"Avignon, Provence-France",avignon-provence-france
c770296,Madeleine,madeleine-france,FR,France,france,283190937,La Collection Lambert en Avignon,la-collection-lambert-en-avignon
c770296,Madeleine,madeleine-france,FR,France,france,226484643,Rocher des Doms,rocher-des-doms
c770296,Madeleine,madeleine-france,FR,France,france,9259544,Pont dAvignon,pont-davignon
c770296,Madeleine,madeleine-france,FR,France,france,505904579,Pont Saint-B\u00e9n\u00e9zet,pont-saint-benezet
c770296,Madeleine,madeleine-france,FR,France,france,27520,Pont Saint-B\u00e9n\u00e9zet,pont-saint-benezet
c770296,Madeleine,madeleine-france,FR,France,france,2128874,Place Des Corps Saints,place-des-corps-saints
c770296,Madeleine,madeleine-france,FR,France,france,26068729,Avignon,avignon
c770296,Madeleine,madeleine-france,FR,France,france,463766,Universit\u00e9 dAvignon et des Pays de Vaucluse,universite-davignon-et-des-pays-de-vaucluse
c1189497,San Giorgio a Cremano,san-giorgio-a-cremano-italy,IT,Italy,italy,364972090,Roma Tiburtina,roma-tiburtina
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,675006173,Mesjid Istiqal Jakarta Pusat,mesjid-istiqal-jakarta-pusat
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,3003121,Stasiun Gambir,stasiun-gambir
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,8324697,JAKARTA,jakarta
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,292233942,Dapur Babah Elite \u0026 Tao Bar,dapur-babah-elite-tao-bar
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,419255751,MaKostrad TNI AD,makostrad-tni-ad
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,352485999,"Immanuel Church, Jakarta",immanuel-church-jakarta
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,235932882,Institute Pertanian Bogor - IPB,institute-pertanian-bogor-ipb
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,106971134378415,New Normal,new-normal
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,821415260,Aku Memilih Setia Dalam Menggapai SURGA dan Cinta-Nya,aku-memilih-setia-dalam-menggapai-surga-dan-cinta-nya
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,606792321,"Surabaya,Jawa Timur,Indonesia",surabayajawa-timurindonesia
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,1938938133100857,Stasiun Kereta Gambir,stasiun-kereta-gambir
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,727428538,Stasiun Gambir,stasiun-gambir
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,1022154286,\u0e2a\u0e22\u0e32\u0e21\u0e19\u0e04\u0e23\u0e34\u0e19\u0e17\u0e23\u0e4c \u0e04\u0e2d\u0e21\u0e40\u0e1e\u0e25\u0e47\u0e01\u0e0b\u0e4c / \u0e2b\u0e49\u0e2d\u0e07\u0e1b\u0e23\u0e30\u0e0a\u0e38\u0e21 \u0e2b\u0e32\u0e14\u0e43\u0e2b\u0e0d\u0e48 Siamnakarin Complex Hat Yai,siamnakarin-complex-hat-yai
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,427915677542346,\u0e42\u0e23\u0e07\u0e41\u0e23\u0e21\u0e15\u0e49\u0e19\u0e2d\u0e49\u0e2d\u0e22\u0e41\u0e01\u0e23\u0e19\u0e14\u0e4c - Tonaoi Grand Hotel,-tonaoi-grand-hotel
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,662882474049808,Hidden House\u2019s,hidden-houses
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,495740523957880,\u0e1a\u0e34\u0e4a\u0e01\u0e0b\u0e35 \u0e40\u0e2d\u0e47\u0e01\u0e15\u0e23\u0e49\u0e32 \u0e2b\u0e32\u0e14\u0e43\u0e2b\u0e0d\u0e482,2
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,1030319203,Puri Pizza \u0026 Steak,puri-pizza-steak
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,1024358756,\u0e42\u0e23\u0e07\u0e41\u0e23\u0e21 \u0e2b\u0e23\u0e23\u0e29\u0e32 \u0e40\u0e08\u0e1a\u0e35 \u0e2b\u0e32\u0e14\u0e43\u0e2b\u0e0d\u0e48,"""},{"
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,1033349250,Factoryfit,factoryfit
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,111573019474221,Bigbee Garden Hatyai,bigbee-garden-hatyai
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,253433231,Monkit Bakery And Coffee Shop,monkit-bakery-and-coffee-shop
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,864584352,\u0e15\u0e49\u0e32\u0e0b\u0e37\u0e48\u0e2d\u0e2a\u0e35\u0e48\u0e23\u0e32\u0e40\u0e21\u0e07 \u0e1a\u0e30\u0e2b\u0e21\u0e35\u0e48\u0e40\u0e1a\u0e15\u0e07\u0e2b\u0e32\u0e14\u0e43\u0e2b\u0e0d\u0e48 \u0e2a\u0e32\u0e02\u0e32\u0e16\u0e19\u0e19\u0e2a\u0e32\u0e21\u0e0a\u0e31\u0e22,"""},{"
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,1020661968,\u0e21\u0e30\u0e2a\u0e33\u0e04\u0e31\u0e19,"""},{"
c2248544,Ban Kohong,ban-kohong-thailand,TH,Thailand,thailand,261564335,\u0e2a\u0e27\u0e19\u0e25\u0e38\u0e07\u0e40\u0e08\u0e34\u0e21,"""},{"
c770296,Madeleine,madeleine-france,FR,France,france,463766,Avignon Universit\u00e9,avignon-universite
c770296,Madeleine,madeleine-france,FR,France,france,1029977938,Avignon TGV,avignon-tgv
c770296,Madeleine,madeleine-france,FR,France,france,507509015,La Fabrica,la-fabrica
c770296,Madeleine,madeleine-france,FR,France,france,3656613,La Mirande *****,la-mirande
c770296,Madeleine,madeleine-france,FR,France,france,333840434,Festival OFF dAvignon,festival-off-davignon
c770296,Madeleine,madeleine-france,FR,France,france,237757202,Op\u00e9ra Grand Avignon,opera-grand-avignon
c770296,Madeleine,madeleine-france,FR,France,france,611876425643125,Avignon Centre,avignon-centre
c770296,Madeleine,madeleine-france,FR,France,france,235496922,83 Vernet Avignon,83-vernet-avignon
c770296,Madeleine,madeleine-france,FR,France,france,7430772,Place du Palais des Papes,place-du-palais-des-papes
c770296,Madeleine,madeleine-france,FR,France,france,731695331,Pont d\u2019Avignon,pont-davignon
c770296,Madeleine,madeleine-france,FR,France,france,498658,Place de lHorloge,place-de-lhorloge
c1189497,San Giorgio a Cremano,san-giorgio-a-cremano-italy,IT,Italy,italy,214056,Villa Torlonia,villa-torlonia
c1189497,San Giorgio a Cremano,san-giorgio-a-cremano-italy,IT,Italy,italy,213484773,Roma Parioli,roma-parioli
c1189497,San Giorgio a Cremano,san-giorgio-a-cremano-italy,IT,Italy,italy,1614423,Stazione Tiburtina,stazione-tiburtina
c1189497,San Giorgio a Cremano,san-giorgio-a-cremano-italy,IT,Italy,italy,617105,Quartiere Copped\u00e8,quartiere-coppede
c1189497,San Giorgio a Cremano,san-giorgio-a-cremano-italy,IT,Italy,italy,215108034,Villa Ada,villa-ada
c1189497,San Giorgio a Cremano,san-giorgio-a-cremano-italy,IT,Italy,italy,1017135422,Piper Club Roma - Official,piper-club-roma-official
c1189497,San Giorgio a Cremano,san-giorgio-a-cremano-italy,IT,Italy,italy,994504,LUISS Guido Carli,luiss-guido-carli
c1189497,San Giorgio a Cremano,san-giorgio-a-cremano-italy,IT,Italy,italy,994504,Luiss Guido Carli,luiss-guido-carli
c1189497,San Giorgio a Cremano,san-giorgio-a-cremano-italy,IT,Italy,italy,173349876086468,Piazza Bologna,piazza-bologna
c1189497,San Giorgio a Cremano,san-giorgio-a-cremano-italy,IT,Italy,italy,227660157,casina delle civette- Villa Torlonia,casina-delle-civette-villa-torlonia
c1189497,San Giorgio a Cremano,san-giorgio-a-cremano-italy,IT,Italy,italy,2870452,Momart Restaurant Caf\u00e8,momart-restaurant-cafe
c1189497,San Giorgio a Cremano,san-giorgio-a-cremano-italy,IT,Italy,italy,51962,Loop Agency,loop-agency
c1189497,San Giorgio a Cremano,san-giorgio-a-cremano-italy,IT,Italy,italy,228668544,Laghetto Di Villa Ada,laghetto-di-villa-ada
c1189497,San Giorgio a Cremano,san-giorgio-a-cremano-italy,IT,Italy,italy,273564219,Storybrooke (Maine),storybrooke-maine
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,761051064,PT. Go-Jek Indonesia,pt-go-jek-indonesia
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,272397742834955,Pertamina,pertamina
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,158161287713107,Satation Gambir,satation-gambir
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,401560360,Tugu Monumen Nasional (Monas) Jakarta,tugu-monumen-nasional-monas-jakarta
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,554542768029306,Ragusa Es Italia Restaurant \u0026 Ice Cream,ragusa-es-italia-restaurant-ice-cream
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,1014806969,Youtube Indonesia,youtube-indonesia
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,1828231397507054,Gambir Railway Station,gambir-railway-station
c950669,Batavia,batavia-indonesia,ID,Indonesia,indonesia,160625021052345,Masjid Istiqlal - Jakarta Pusat,masjid-istiqlal-jakarta-pusat
